Дата,ПодрКод,НомКод,Кіл_сть,СумаПродажу,ЦінаПродажу
11.06.2023 0:00,34,25 854,0,0,0
22.08.2023 0:00,34,25 910,1,47,47
08.08.2023 0:00,34,25 620,1,"29,6","29,6"
21.04.2023 0:00,34,25 618,0,0,0
08.06.2023 0:00,34,101 209,5,325,65
22.10.2023 0:00,34,69 088,0,0,0
04.06.2023 0:00,34,25 910,0,0,0
09.09.2023 0:00,34,61 166,0,0,0
31.05.2023 0:00,34,52 960,0,0,0
25.04.2023 0:00,34,69 089,0,0,0
04.05.2023 0:00,34,31 368,0,0,0
20.06.2023 0:00,34,47 372,0,0,0
09.05.2023 0:00,34,25 606,0,0,0
03.04.2023 0:00,34,69 087,0,0,0
31.05.2023 0:00,34,31 300,4,"122,8","30,7"
13.04.2023 0:00,34,31 373,0,0,0
14.05.2023 0:00,34,52 990,1,"32,7","32,7"
17.04.2023 0:00,34,25 936,0,0,0
16.07.2023 0:00,34,44 425,5,"163,5","32,7"
07.05.2023 0:00,34,31 321,1,"27,7","27,7"
29.08.2023 0:00,34,47 369,0,0,0
30.07.2023 0:00,34,2 171,0,0,0
30.07.2023 0:00,34,48 845,0,0,0
22.04.2023 0:00,34,52 992,3,"98,1","32,7"
02.08.2023 0:00,34,25 924,2,"119,4","59,7"
01.08.2023 0:00,34,47 368,6,153,"25,5"
06.06.2023 0:00,34,68 959,0,0,0
01.09.2023 0:00,34,3 378,0,0,0
02.05.2023 0:00,34,25 896,0,0,0
28.07.2023 0:00,34,31 299,1,"30,99","30,99"
26.09.2023 0:00,34,31 215,0,0,0
06.09.2023 0:00,34,37 270,16,"364,69","22,793125"
18.06.2023 0:00,34,31 371,0,0,0
11.07.2023 0:00,34,25 607,0,0,0
25.05.2023 0:00,34,25 951,0,0,0
12.05.2023 0:00,34,98 318,4,126,"31,5"
09.05.2023 0:00,34,48 845,3,"1,4","0,4666666666666"
01.09.2023 0:00,34,61 162,0,0,0
19.08.2023 0:00,34,25 642,12,"510,4","42,5333333333333"
06.04.2023 0:00,34,32 348,0,0,0
21.08.2023 0:00,34,25 923,1,"34,7","34,7"
09.06.2023 0:00,34,2 593,1,"49,9","49,9"
02.08.2023 0:00,34,25 767,8,"425,6","53,2"
15.04.2023 0:00,34,25 801,0,0,0
05.07.2023 0:00,34,29 099,4,84,21
09.06.2023 0:00,34,25 930,5,"314,5","62,9"
10.05.2023 0:00,34,97 795,0,0,0
30.06.2023 0:00,34,70 117,7,"167,3","23,9"
11.08.2023 0:00,34,25 592,0,0,0
15.04.2023 0:00,34,48 861,0,0,0
13.10.2023 0:00,34,29 594,3,"81,6","27,2"
23.05.2023 0:00,34,25 591,0,0,0
12.08.2023 0:00,34,61 278,0,0,0
25.09.2023 0:00,34,25 931,3,"94,2","31,4"
26.04.2023 0:00,34,107 160,0,0,0
19.10.2023 0:00,34,47 368,0,0,0
01.10.2023 0:00,34,25 607,5,"163,5","32,7"
24.04.2023 0:00,34,66 473,1,"39,3","39,3"
31.07.2023 0:00,34,48 862,0,0,0
19.08.2023 0:00,34,50 588,3,"94,2","31,4"
04.04.2023 0:00,34,95 548,3,150,50
10.10.2023 0:00,34,107 753,3,"185,4","61,8"
20.04.2023 0:00,34,61 279,0,0,0
19.10.2023 0:00,34,25 801,0,0,0
10.05.2023 0:00,34,25 882,0,0,0
21.09.2023 0:00,34,33 221,2,55,"27,5"
28.06.2023 0:00,34,25 687,3,"90,6","30,2"
27.06.2023 0:00,34,67 945,1,"79,8","79,8"
27.09.2023 0:00,34,25 878,5,"97,37","19,474"
14.04.2023 0:00,34,67 233,0,0,0
14.06.2023 0:00,34,25 617,0,0,0
18.10.2023 0:00,34,2 173,0,0,0
06.09.2023 0:00,34,97 795,1,36,36
13.09.2023 0:00,34,3 357,4,84,21
19.06.2023 0:00,34,61 157,0,0,0
13.07.2023 0:00,34,25 896,0,0,0
06.06.2023 0:00,34,97 755,0,0,0
11.06.2023 0:00,34,31 299,0,0,0
31.07.2023 0:00,34,25 882,0,0,0
16.04.2023 0:00,34,25 951,0,0,0
22.04.2023 0:00,34,31 368,0,0,0
15.05.2023 0:00,34,25 924,2,"115,8","57,9"
01.06.2023 0:00,34,25 642,8,"331,2","41,4"
19.10.2023 0:00,34,29 594,5,136,"27,2"
03.06.2023 0:00,34,25 923,1,"34,7","34,7"
14.06.2023 0:00,34,34 688,0,0,0
28.07.2023 0:00,34,33 222,2,"97,8","48,9"
13.05.2023 0:00,34,97 795,2,63,"31,5"
21.09.2023 0:00,34,25 851,0,0,0
25.08.2023 0:00,34,31 743,0,0,0
09.07.2023 0:00,34,31 215,0,0,0
12.06.2023 0:00,34,31 372,0,0,0
25.04.2023 0:00,34,32 351,0,0,0
23.09.2023 0:00,34,44 424,2,98,49
10.08.2023 0:00,34,69 089,0,0,0
06.06.2023 0:00,34,37 383,0,0,0
16.10.2023 0:00,34,31 320,2,"52,6","26,3"
14.08.2023 0:00,34,69 088,0,0,0
06.04.2023 0:00,34,34 688,0,0,0
02.04.2023 0:00,34,47 372,0,0,0
09.08.2023 0:00,34,25 591,2,119,"59,5"
27.07.2023 0:00,34,61 615,0,0,0
07.05.2023 0:00,34,25 883,0,0,0
14.08.2023 0:00,34,25 592,0,0,0
22.06.2023 0:00,34,61 166,0,0,0
28.09.2023 0:00,34,25 877,0,0,0
17.06.2023 0:00,34,2 266,0,0,0
29.08.2023 0:00,34,25 854,0,0,0
21.05.2023 0:00,34,25 620,0,0,0
17.05.2023 0:00,34,25 906,0,0,0
25.05.2023 0:00,34,25 936,0,0,0
30.06.2023 0:00,34,97 134,1,"37,6","37,6"
27.09.2023 0:00,34,66 473,2,"78,6","39,3"
20.05.2023 0:00,34,47 372,0,0,0
04.06.2023 0:00,34,69 089,0,0,0
29.07.2023 0:00,34,59 934,0,0,0
23.08.2023 0:00,34,25 899,0,0,0
28.04.2023 0:00,34,32 351,1,"32,8","32,8"
16.08.2023 0:00,34,61 278,0,0,0
04.08.2023 0:00,34,53 605,2,"86,6","43,3"
30.05.2023 0:00,34,52 991,1,"32,7","32,7"
03.08.2023 0:00,34,47 369,0,0,0
30.06.2023 0:00,34,52 640,3,"117,9","39,3"
29.04.2023 0:00,34,25 911,0,0,0
03.06.2023 0:00,34,25 591,0,0,0
05.05.2023 0:00,34,29 594,5,136,"27,2"
18.09.2023 0:00,34,37 376,0,0,0
03.06.2023 0:00,34,52 960,0,0,0
22.07.2023 0:00,34,107 753,1,"55,8","55,8"
10.06.2023 0:00,34,48 868,1,"43,99","43,99"
30.07.2023 0:00,34,25 767,15,"754,8","50,32"
14.07.2023 0:00,34,25 851,0,0,0
14.10.2023 0:00,34,31 301,2,"57,98","28,99"
17.09.2023 0:00,34,70 117,0,0,0
07.07.2023 0:00,34,52 959,0,0,0
12.10.2023 0:00,34,53 605,0,0,0
12.04.2023 0:00,34,25 914,0,0,0
25.08.2023 0:00,34,25 922,0,0,0
17.04.2023 0:00,34,25 951,0,0,0
09.08.2023 0:00,34,25 642,5,"213,5","42,7"
22.09.2023 0:00,34,29 099,3,63,21
24.05.2023 0:00,34,25 592,0,0,0
03.10.2023 0:00,34,44 425,1,"32,7","32,7"
15.07.2023 0:00,34,61 618,0,0,0
27.08.2023 0:00,34,2 593,1,"52,5","52,5"
28.09.2023 0:00,34,25 607,3,"96,54","32,18"
06.07.2023 0:00,34,31 215,0,0,0
27.08.2023 0:00,34,25 930,5,"314,5","62,9"
17.10.2023 0:00,34,48 845,0,0,0
15.05.2023 0:00,34,53 487,2,"62,9","31,45"
27.08.2023 0:00,34,25 602,1,"47,2","47,2"
02.07.2023 0:00,34,25 605,0,0,0
10.06.2023 0:00,34,68 146,5,"384,95","76,99"
29.04.2023 0:00,34,31 369,0,0,0
06.05.2023 0:00,34,25 883,2,"54,4","27,2"
26.08.2023 0:00,34,2 593,4,210,"52,5"
26.08.2023 0:00,34,25 930,4,"251,6","62,9"
17.10.2023 0:00,34,107 752,0,0,0
27.06.2023 0:00,34,70 117,0,0,0
04.06.2023 0:00,34,2 861,0,0,0
21.09.2023 0:00,34,62 788,0,0,0
02.07.2023 0:00,34,34 674,0,0,0
23.05.2023 0:00,34,97 135,0,0,0
04.06.2023 0:00,34,25 591,0,0,0
17.07.2023 0:00,34,61 279,0,0,0
30.07.2023 0:00,34,48 862,0,0,0
07.09.2023 0:00,34,61 157,1,"69,9","69,9"
23.07.2023 0:00,34,25 725,0,0,0
20.07.2023 0:00,34,17 353,1,"36,3","36,3"
19.08.2023 0:00,34,25 589,0,0,0
17.04.2023 0:00,34,67 945,0,0,0
02.10.2023 0:00,34,25 878,1,"28,01","28,01"
05.08.2023 0:00,34,61 256,1,"55,6","55,6"
12.07.2023 0:00,34,61 277,0,0,0
21.09.2023 0:00,34,61 278,0,0,0
02.05.2023 0:00,34,68 146,0,0,0
11.08.2023 0:00,34,25 642,5,"213,5","42,7"
04.04.2023 0:00,34,61 255,1,62,62
16.06.2023 0:00,34,25 880,0,0,0
03.05.2023 0:00,34,25 899,0,0,0
19.07.2023 0:00,34,25 913,0,0,0
11.10.2023 0:00,34,31 320,1,"31,4","31,4"
12.07.2023 0:00,34,52 960,0,0,0
27.06.2023 0:00,34,25 879,0,0,0
02.06.2023 0:00,34,29 099,8,168,21
25.04.2023 0:00,34,32 615,0,0,0
21.07.2023 0:00,34,107 753,0,0,0
25.09.2023 0:00,34,53 486,4,"207,33","51,8325"
15.04.2023 0:00,34,69 088,0,0,0
23.08.2023 0:00,34,61 258,0,0,0
16.10.2023 0:00,34,44 422,0,0,0
23.08.2023 0:00,34,25 741,11,"553,3","50,3"
29.10.2023 0:00,34,44 424,0,0,0
10.09.2023 0:00,34,25 620,0,0,0
19.06.2023 0:00,34,52 641,4,"182,1","45,525"
18.10.2023 0:00,34,61 157,0,0,0
29.04.2023 0:00,34,107 160,0,0,0
27.08.2023 0:00,34,25 925,0,0,0
07.04.2023 0:00,34,25 801,0,0,0
10.10.2023 0:00,34,31 299,0,0,0
07.10.2023 0:00,34,32 347,0,0,0
24.05.2023 0:00,34,61 126,4,"241,2","60,3"
14.10.2023 0:00,34,67 948,5,"185,49","37,098"
03.09.2023 0:00,34,59 931,0,0,0
01.04.2023 0:00,34,25 882,1,"25,2","25,2"
08.08.2023 0:00,34,59 565,2,"123,6","61,8"
