InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice
2023-10-04,2266,2,129.6,41,2,4,64.8
2023-10-04,2501,,,41,2,4,
2023-10-04,25605,,,41,2,4,
2023-10-04,25741,6,301.8,41,2,4,50.3
2023-10-04,25851,,,41,2,4,
2023-10-04,25882,1,29.1,41,2,4,29.1
2023-10-04,25901,,,41,2,4,
2023-10-04,25915,,,41,2,4,
2023-10-04,25925,,,41,2,4,
2023-10-04,25926,,,41,2,4,
2023-10-04,25931,,,41,2,4,
2023-10-04,29099,1,21,41,2,4,21
2023-10-04,31299,,,41,2,4,
2023-10-04,31301,,,41,2,4,
2023-10-04,33221,,,41,2,4,
2023-10-04,44423,1,31.1,41,2,4,31.1
2023-10-04,44424,,,41,2,4,
2023-10-04,47369,,,41,2,4,
2023-10-04,52425,,,41,2,4,
2023-10-04,53486,3,134.7,41,2,4,44.9
2023-10-04,59931,,,41,2,4,
2023-10-04,61117,,,41,2,4,
2023-10-04,61126,1,62.1,41,2,4,62.1
2023-10-04,61179,,,41,2,4,
2023-10-04,61255,,,41,2,4,
2023-10-04,62788,,,41,2,4,
2023-10-04,62806,,,41,2,4,
2023-10-04,69087,,,41,2,4,
2023-10-04,95548,,,41,2,4,
2023-10-04,97134,,,41,2,4,
2023-10-04,101209,2,134,41,2,4,67
2023-10-04,3378,,,41,2,4,
2023-10-04,25589,1,59.5,41,2,4,59.5
2023-10-04,25617,,,41,2,4,
2023-10-04,25725,,,41,2,4,
2023-10-04,25767,4,212.8,41,2,4,53.2
2023-10-04,25912,,,41,2,4,
2023-10-04,25922,,,41,2,4,
2023-10-04,25924,1,50.9,41,2,4,50.9
2023-10-04,25928,1,26.2,41,2,4,26.2
2023-10-04,25936,,,41,2,4,
2023-10-04,27286,,,41,2,4,
2023-10-04,33222,4,225.2,41,2,4,56.3
2023-10-04,34674,,,41,2,4,
2023-10-04,37383,,,41,2,4,
2023-10-04,48862,,,41,2,4,
2023-10-04,53487,1,55.1,41,2,4,55.1
2023-10-04,53605,,,41,2,4,
2023-10-04,61243,,,41,2,4,
2023-10-04,61615,,,41,2,4,
2023-10-04,61618,3,68.97,41,2,4,22.99
2023-10-04,66305,3,157.8,41,2,4,52.6
2023-10-04,66473,2,87.2,41,2,4,43.6
2023-10-04,68132,3,76.5,41,2,4,25.5
2023-10-04,97135,,,41,2,4,
2023-10-04,97785,,,41,2,4,
2023-10-04,97795,,,41,2,4,
2023-10-04,2173,,,41,2,4,
2023-10-04,2593,1,52.5,41,2,4,52.5
2023-10-04,3357,,,41,2,4,
2023-10-04,25591,,,41,2,4,
2023-10-04,25602,,,41,2,4,
2023-10-04,25607,1,32.7,41,2,4,32.7
2023-10-04,25687,4,120.8,41,2,4,30.2
2023-10-04,25764,,,41,2,4,
2023-10-04,25801,4,96.4,41,2,4,24.1
2023-10-04,25877,,,41,2,4,
2023-10-04,25902,2,99.6,41,2,4,49.8
2023-10-04,25910,,,41,2,4,
2023-10-04,25911,1,47,41,2,4,47
2023-10-04,25923,,,41,2,4,
2023-10-04,25930,4,251.6,41,2,4,62.9
2023-10-04,25933,,,41,2,4,
2023-10-04,27289,,,41,2,4,
2023-10-04,29594,2,54.4,41,2,4,27.2
2023-10-04,31215,,,41,2,4,
2023-10-04,31320,,,41,2,4,
2023-10-04,31321,3,94.2,41,2,4,31.4
2023-10-04,32354,1,37.6,41,2,4,37.6
2023-10-04,48861,,,41,2,4,
2023-10-04,52959,,,41,2,4,
2023-10-04,52960,,,41,2,4,
2023-10-04,53511,4,130.8,41,2,4,32.7
2023-10-04,61162,,,41,2,4,
2023-10-04,61250,12,314.4,41,2,4,26.2
2023-10-04,61277,,,41,2,4,
2023-10-04,67948,,,41,2,4,
2023-10-04,69089,,,41,2,4,
2023-10-04,70117,,,41,2,4,
2023-10-04,97786,,,41,2,4,
2023-10-04,98318,,,41,2,4,
2023-10-04,98529,,,41,2,4,
2023-10-04,107752,1,29.5,41,2,4,29.5
2023-10-04,107753,1,61.8,41,2,4,61.8
2023-10-04,25590,,,41,2,4,
2023-10-04,25606,2,68,41,2,4,34
2023-10-04,25619,,,41,2,4,
2023-10-04,25620,,,41,2,4,
2023-10-04,25642,10,369.9,41,2,4,36.99
2023-10-04,25878,6,169.8,41,2,4,28.3
2023-10-04,25879,1,28.3,41,2,4,28.3
2023-10-04,25883,,,41,2,4,
2023-10-04,25899,,,41,2,4,
2023-10-04,25913,1,29.9,41,2,4,29.9
2023-10-04,25914,,,41,2,4,
2023-10-04,27285,,,41,2,4,
2023-10-04,29813,,,41,2,4,
2023-10-04,31745,,,41,2,4,
2023-10-04,32347,,,41,2,4,
2023-10-04,32356,1,53.5,41,2,4,53.5
2023-10-04,33224,,,41,2,4,
2023-10-04,37270,5,131,41,2,4,26.2
2023-10-04,37376,,,41,2,4,
2023-10-04,44422,2,65.4,41,2,4,32.7
2023-10-04,44425,,,41,2,4,
2023-10-04,47368,,,41,2,4,
2023-10-04,47372,,,41,2,4,
2023-10-04,48845,1,25.8,41,2,4,25.8
2023-10-04,48860,,,41,2,4,
2023-10-04,48868,,,41,2,4,
2023-10-04,50588,1,31.4,41,2,4,31.4
2023-10-04,61157,,,41,2,4,
2023-10-04,61161,,,41,2,4,
2023-10-04,61278,,,41,2,4,
2023-10-04,61279,,,41,2,4,
2023-10-04,67245,,,41,2,4,
2023-10-04,67945,,,41,2,4,
2023-10-04,69088,,,41,2,4,
2023-10-04,98466,7,125.9,41,2,4,17.9857142857142
2023-10-05,3357,5,104.72,41,3,5,20.944
2023-10-05,25590,1,59.5,41,3,5,59.5
2023-10-05,25602,,,41,3,5,
2023-10-05,25606,3,102,41,3,5,34
2023-10-05,25620,3,80.97,41,3,5,26.99
2023-10-05,25642,6,256.2,41,3,5,42.7
2023-10-05,25878,6,169.8,41,3,5,28.3
2023-10-05,25879,,,41,3,5,
2023-10-05,25883,,,41,3,5,
2023-10-05,25899,,,41,3,5,
2023-10-05,25914,,,41,3,5,
2023-10-05,25925,,,41,3,5,
2023-10-05,25926,,,41,3,5,
2023-10-05,27285,,,41,3,5,
2023-10-05,27289,2,163.2,41,3,5,81.6
2023-10-05,29594,3,81.6,41,3,5,27.2
2023-10-05,31215,,,41,3,5,
2023-10-05,31301,1,28.99,41,3,5,28.99
2023-10-05,31745,1,43.3,41,3,5,43.3
2023-10-05,32347,,,41,3,5,
2023-10-05,32356,,,41,3,5,
2023-10-05,33224,,,41,3,5,
